a,"
'''a''' <small>[conjunction for nouns]</small> — ''and/or''
:'''ei mi tavla la Alis a la Kevin''' — ''I need to speak to Alice or Kevin (or to both of them).''
:Related words: '''ja''', '''a''', '''e''', '''ji''', '''o''', '''u'''"
darsi,"
'''darsi''' — ''x<sub>1</sub><sub>(entity)</sub>''  shows audacity in behavior  ''x<sub>2</sub><sub>(property of x1)</sub>'' 
:'''lo darsi''' — cheeky. '''lo se darsi''' — audacious behaviour. 
:'''la Edvard ca darsi lo ka na cusku lo jetnu la Tom''' — ''Eduard dares not tell Tom the truth.''
:Related words: '''virnu'''"
darxi,"
'''darxi''' — ''x<sub>1</sub><sub>(entity)</sub>''  hits or strikes  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo darxi''' — who strikes. '''lo se darxi''' — struck, stricken. 
:'''mi pu darxi lo xedja be ra se pi'o lo xance''' — ''I hit his jaw with hand.''
:'''mi pu darxi la Alis se pi'o lo zunle jamfu be mi re'o lo betfu''' — ''I kicked Alice with my left foot in the belly.''
:Related words: '''bikla''', '''gunta''', '''jenca''', '''tunta''', '''janli''', '''jgari''', '''pencu'''"
daski,"
'''daski''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a pocket or pouch in  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo daski''' — pocket. 
:'''mi pu punji lo mi xance lo daski be lo mi kosta''' — ''I put my hand into the pocket of my coat.''
:Related words: '''dakli''', '''taxfu''', '''bakfu'''"
dasni,"
'''dasni''' — ''x<sub>1</sub><sub>(entity)</sub>''  wears  ''x<sub>2</sub><sub>(entity)</sub>''  as garment of type  ''x<sub>3</sub><sub>(property of x1)</sub>'' 
:'''lo dasni''' — who wears a garment. '''lo se dasni''' — garment worn. 
:'''e'o do co'a dasni lo cutci''' — ''Please put on your shoes.''
:'''le nixli cu dasni lo creka lo skaci''' — ''The girl wears a shirt as a skirt.''
:Related words: '''taxfu'''"
daspo,"
'''daspo''' — ''x<sub>1</sub><sub>(entity)</sub>''  destroys  ''x<sub>2</sub><sub>(entity, property of x1)</sub>'' 
:'''lo daspo''' — destroyer. '''lo se daspo''' — destroyed. 
:'''ra pu daspo lo ka kanro''' — ''He ruined his health.''
:'''lo fagri pu daspo ci lo dinju''' — ''The fire destroyed three of the buildings.''
:Related words: '''spofu''', '''xrani''', '''marxa''', '''zalvi''', '''xaksu'''"
dasri,"
'''dasri''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a ribbon
:'''lo dasri''' — ribbon, strip. 
:'''lo se dunda pu se bakfu fi lo dasri''' — ''The gift was tied with a ribbon.''
:Related words: '''djine'''"
datka,"
'''datka''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a duck of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo datka''' — duck. 
:'''lo za'u datka ru'i limna lo lalxu''' — ''The ducks are swimming in the lake.''
:Related words: '''cipni'''"
datni,"
'''datni''' — ''x<sub>1</sub><sub>(property of x2)</sub>''  is information about  ''x<sub>2</sub><sub>(entity)</sub>''  gathered by method  ''x<sub>3</sub><sub>(property of x2)</sub>'' 
:'''lo datni''' — information. '''lo te datni''' — method of getting information. 
:'''lo ka gasnu lo zekri cu datni le nanmu lo ka zgana lo se zukte be ce'u''' — ''Being a criminal are the data about the man collected by monitoring his actions.''
:'''ai mi tavla do lo datni be fi lo cipra''' — ''I'm going to talk to you about experimental data.''
:Comment: synonym of '''info'''.
:Related words: '''fatci''', '''saske''', '''vreji'''"
dau,"
'''dau''' <small>[digit/number]</small> — hex digit ''A'' (decimal 10), ''ten''
:'''ei mi'o denpa ze'a lo djedi be li dau''' — ''We should wait for 10 days.''"
dau'i,"
'''dau'i''' <small>[right scaler]</small> — equal intensity
:'''ju'o la Alis ba tsuku''' — ''I'm sure Alice will arrive.''
:'''ju'o dau'i ji'a la Kevin ba vitke mi'a''' — ''And I'm equally sure that Kevin will visit us.''
:Comment: usually specifies an intensity of an interjection equal to the intensity of the same interjection earlier used.
:Related words: '''dau'i''', '''mau'i''', '''me'ai''', '''cu'i''', '''sai''', '''ru'e'''"
de,"
'''de''' <small>[pronoun]</small> — there exists something or someone: 2nd pronoun of '''da''', '''de''', '''di''' series
:'''ro da poi ke'a sinma ke'a cu se sinma ro de poi ke'a sinma di''' — ''Everyone who respects oneself is respected by everyone who respects someone.''"
de'a,"
'''de'a''' <small>[preposition of aspect]</small> — pause (pausative aspect)
:'''mi pu de'a citka lo plise''' — ''I stopped eating apples for a while.''
:'''mi de'a jundi''' — ''I won't be paying attention for a while.''
:Related words: '''di'a'''"
de'e,"
'''de'e''' <small>[pronoun]</small> — a near future utterance
:'''de'e cinri jufra''' — ''The following sentence is interesting.''
:'''au do tirna mi''' — ''I'd like you to listen to me.''
:'''lo xunre cu srana lo nu fengu''' — ''Red is related to the state of being angry.''"
de'i,"
'''de'i''' <small>[preposition from '''detri''']</small> — ''on date/time ...'' (date stamp follows)
:'''de'i li ly ci dy pa mu mi pu zvati la Nipon''' — ''On March 15 I was in Japan.''
:'''de'i li cy pa ci mi'a cliva''' — ''We leave at 1 pm.''
:'''mi'a cliva de'i li cy so my ci no''' — ''We leave at 9:30''
:Comment: '''ny''' is put before years, '''ly''' is put before months, '''dy''' is put before days, '''cy''' is put before hours, '''my''' is put before minutes, '''sy''' is put before seconds.."
de'u,"
'''de'u''' <small>[pronoun]</small> — a recent utterance
:'''i fi'o suksa co'a gusni bu'u lo darno i ba bo le gusni cu canci''' — ''Suddenly a light appeared far away and then the light disappeared.''
:'''le re mei pu troci lo ka ganse le gusni vau za'u re'u i ku'i le re mei na pu djuno lo du'u xu kau la'e de'e cu du lo sinxa poi le re mei ze'u kanpe tu'a ke'a''' — ''They both tried to observe it once again. But they didn't know whether that was the sign they had been expecting for so long.''"
decti,"
'''decti''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a tenth of  ''x<sub>2</sub><sub>(same type as x1)</sub>''  in  ''x<sub>3</sub><sub>(property of x1)</sub>'' 
:'''lo decti''' — 1/10_. 
:'''le bitmu cu decti be lo mitre lo ka rotsu''' — ''The fence is 10 centimeters thick.''
:Related words: '''centi'''"
degji,"
'''degji''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a finger, toe, or digit on limb  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo degji''' — finger, toe, digit (of body). '''lo se degji''' — limb with fingers or toes. 
:'''lo degji be lo be mi xance poi pritu cu cortu''' — ''The fingers of my right hand hurt.''
:Related words: '''nazbi''', '''tamji''', '''tance''', '''xance'''"
dei,"
'''dei''' <small>[pronoun]</small> — this utterance
:'''i lo se casnu pe dei ca zenba lo ka cinri''' — ''This discussion is getting more interesting.''"
dejni,"
'''dejni''' — ''x<sub>1</sub><sub>(entity)</sub>''  owes debt  ''x<sub>2</sub><sub>(entity, property of x1)</sub>''  to creditor  ''x<sub>3</sub><sub>(entity)</sub>''  in return for service  ''x<sub>4</sub><sub>(entity, property of x1)</sub>'' 
:'''lo dejni''' — debtor. '''lo se dejni''' — debt. '''lo te dejni''' — creditor of debt. 
:'''mi dejni lo ka sidju vau do lo ka se sidju do''' — ''I am obliged to help you in return for your help.''
:'''mi dejni fi lo mi patfu fo lo ka snada''' — ''I owe my success to my father.''
:Related words: '''jbera''', '''janta''', '''zivle'''"
dekpu,"
'''dekpu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is  ''x<sub>2</sub><sub>(number)</sub>''  volume units in standard  ''x<sub>3</sub><sub>(property of x1)</sub>'' 
:'''lo vi botpi cu dekpu li pa lo ka litce''' — ''This bottle is one liter in volume.''
:Related words: '''canlu''', '''litce''', '''rupnu''', '''fepni''', '''gutci''', '''minli''', '''merli''', '''bunda''', '''kramu'''"
dekto,"
'''dekto''' — ''x<sub>1</sub><sub>(entity)</sub>''  is ten of  ''x<sub>2</sub><sub>(same type as x1)</sub>''  in  ''x<sub>3</sub><sub>(property of x1)</sub>'' 
:'''lo dekto''' — 10_. 
:'''le dinju cu dekto be lo mitre lo ka clani''' — ''The house is 10 meters high.''
:Related words: '''centi'''"
delfinu,"
'''delfinu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a dolphin of species/breed  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo delfinu''' — dolphin. 
:'''lo'e delfinu cu stati''' — ''Dolphins are generally smart.''
:Comment: see '''mabru''', '''xamsi''', '''flu'ente'''.
:Related words: '''mabru''', '''xamsi''', '''rirxe'''"
delno,"
'''delno''' — ''x<sub>1</sub><sub>(entity)</sub>''  is  ''x<sub>2</sub><sub>(number)</sub>''  candela in luminosity
:'''lo vi bombila cu delno li ji'i pa re no''' — ''This light bulb has a luminous intensity of around 120 candela.''
:Related words: '''centi''', '''decti''', '''dekto''', '''femti''', '''gigdo''', '''gocti''', '''gotro''', '''kilto''', '''centi'''"
dembi,"
'''dembi''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a legume, bean, or pea from plant  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo dembi''' — legume seed. '''lo se dembi''' — plant with legumes. 
:'''mi ca ca'o citka lo stasu be lo dembi''' — ''I am eating a bean stew.''
:Related words: '''grute''', '''sobde''', '''tsiju'''"
denci,"
'''denci''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a tooth of  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo denci''' — tooth. 
:'''lo denci be mi cu cortu''' — ''I have a toothache.''
:Related words: '''dakfu''', '''pagre''', '''jgalu''', '''moklu''', '''dakfu''', '''pagre''', '''jgalu''', '''batci''', '''bongu'''"
denmi,"
'''denmi''' — ''x<sub>1</sub><sub>(entity)</sub>''  is dense in  ''x<sub>2</sub><sub>(property of x1)</sub>'' 
:'''lo denmi''' — dense. 
:'''lo karce flu'ente cu denmi lo ni karce bu'u lo klaji''' — ''The car traffic is intense in the streets.''
:Related words: '''carmi''', '''midju''', '''viknu'''"
denpa,"
'''denpa''' — ''x<sub>1</sub><sub>(entity)</sub>''  waits or pauses for  ''x<sub>2</sub><sub>(clause)</sub>''  at state  ''x<sub>3</sub><sub>(property of x1)</sub>''  before doing  ''x<sub>4</sub><sub>(property of x1)</sub>'' 
:'''ko ze'i denpa''' — ''Wait a bit (=Just a moment).''
:'''do pu denpa xu''' — ''Did you wait?''
:'''ki'e sai''' — ''Thank you!''
:'''mi denpa lo nu lo patfu cu volve vau lo ka kelci vau lo ka cliva''' — ''I am waiting for my father to arrive playing before leaving.''
:Related words: '''dicra''', '''fanmo''', '''sisti''', '''fliba''', '''basna'''"
denpa bu,"
'''denpa bu''' <small>[pronoun]</small> — ''.'', ''full stop'', ''period'', ''dot''"
dertu,"
'''dertu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is some soil or dirt
:'''lo dertu''' — soil, dirt, ground (soil), earth (soil). 
:'''pu ze'a ku lo karce cu muvdu bu'u lo dertu''' — ''For a while, the car moved on the soil.''
:Related words: '''kliti''', '''terdi''', '''loldi'''"
derxi,"
'''derxi''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a heap or stack of  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo derxi''' — heap. 
:'''mi pu cupra lo derxi be lo mudri''' — ''I chopped a pile of wood.''
:Related words: '''gunma''', '''cmana'''"
desku,"
'''desku''' — ''x<sub>1</sub><sub>(entity)</sub>''  is shakes or vibrates from force  ''x<sub>2</sub><sub>(clause)</sub>'' 
:'''lo desku''' — something vibrating. 
:'''ra pu desku lo ka terpa''' — ''She was shaking with fear.''
:Related words: '''slilu''', '''janbe'''"
detri,"
'''detri''' — ''x<sub>1</sub><sub>(number)</sub>''  is the date of  ''x<sub>2</sub><sub>(clause)</sub>'' 
:'''lo detri''' — datestamp. 
:'''li my pa dy pa ze ny re no pa mu detri lo nu mi co'a tadni la Lojban''' — ''January 17, 2015 is the date when I started studying Lojban.''
:Comment: in x<sub>1</sub> '''ny''' is put before years, '''ly''' is put before months, '''dy''' is put before days, '''cy''' is put before hours, '''my''' is put before minutes, '''sy''' is put before seconds.
:Related words: '''de'i''', '''djedi''', '''jeftu''', '''masti''', '''nanca''', '''tcika''', '''judri'''"
di,"
'''di''' <small>[pronoun]</small> — there exists something or someone: 3rd pronoun of '''da''', '''de''', '''di''' series
:'''i ku'i la'a nai su'o da cizra ro de ro di''' — ''But it is unlikely that something is strange to everyone in every way.''"
di'a,"
'''di'a''' <small>[preposition of aspect]</small> — resuming (resumptive aspect)
:'''mi na ba di'a zgipli lo pipno''' — ''I won't play the piano again.''
:'''mi di'a jundi''' — ''I'm listening again.''
:Related words: '''de'a'''"
di'ai,"
'''di'ai''' <small>[vocative]</small> — expression of well-wish, '''di'ai''' '''nai''' — expression of curse
:'''pluka nicte di'ai''' — ''Good night!''
:'''di'ai do''' — ''Good luck to you.''
:'''do i ko na raktu mi di'ai nai do''' — ''Don't disturb me, damn you!''
:Comment: used to express well-wishes/curses.
:Related words: '''dimna''', '''dapma''', '''ki'e''', '''doi''', '''fu'au'''"
di'anzi,"
'''di'anzi''' — ''x<sub>1</sub><sub>(entity)</sub>''  is an electronic device
:'''lo di'anzi''' — electronic. 
:'''gau do e'i to'e akti fa lo do di'anzi''' — ''Turn off your electronic devices.''
:Related words: '''letri'''"
di'e,"
'''di'e''' <small>[pronoun]</small> — the next utterance
:'''di'e na drani i la Djon cu cmene mi i lu zo djon cmene mi li'u drani ku'i''' — ''The following sentence isn't correct. Someone called John is my name. &quot;John is my name&quot; is correct, though.''"
di'i,"
'''di'i''' <small>[preposition of aspect]</small> — ''regularly'' (iterative aspect), '''di'i''' '''nai''' — ''irregularly''
:'''mi di'i cadzu bu'u lo panka''' — ''I regularly walk in the park.''
:'''pa cukta di'i se tcidu mi''' — ''I read the same book again and again.''
:'''mi di'i nai citka lo kokso''' — ''I eat coconuts here and there.''"
di'u,"
'''di'u''' <small>[pronoun]</small> — the last utterance
:'''ma xamgu traji tadji lo nu tadni la Lojban i di'u xamgu se retsku''' — ''What is the best method of learning Lojban? That is a good question.''
:'''la Alis ze'a lo djedi be li za'u re na zvati i la'e di'u cizra''' — ''Alice isn't present for more than two days. That is strange.''"
dicra,"
'''dicra''' — ''x<sub>1</sub><sub>(entity)</sub>''  interrupts or disrupts  ''x<sub>2</sub><sub>(entity)</sub>''  due to quality  ''x<sub>3</sub><sub>(property of x1)</sub>'' 
:'''lo sance pu dicra lo nu mi sipna vau lo ka cladu''' — ''The sound woke me up since it was loud.''
:Related words: '''zunti''', '''fanza''', '''raktu''', '''denpa'''"
diklo,"
'''diklo''' — ''x<sub>1</sub><sub>(entity)</sub>''  is confined to location  ''x<sub>2</sub><sub>(entity)</sub>''  within range  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo diklo''' — local. 
:'''lo ca carvi cu diklo lo stuna lo dei tcadu''' — ''Within the borders of this city, the rain is in the south.''
:Related words: '''bu'u''', '''zvati''', '''jibni''', '''cpana''', '''nenri''', '''lamji''', '''stuzi''', '''tcila'''"
dikni,"
'''dikni''' — ''x<sub>1</sub><sub>(entity)</sub>''  is regular or periodic in  ''x<sub>2</sub><sub>(property of x1)</sub>''  with interval  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo dikni''' — regular. 
:'''mi dikni lo ka lumci lo mi kumfa vau lo jeftu''' — ''I am regular in cleaning my room every week.''
:Related words: '''slilu''', '''rilti''', '''xutla''', '''manfo''', '''boxna'''"
dilcu,"
'''dilcu''' — ''x<sub>1</sub><sub>(number)</sub>''  is a quotient of  ''x<sub>2</sub><sub>(number)</sub>''  divided by  ''x<sub>3</sub><sub>(number)</sub>'', leaving remainder  ''x<sub>4</sub><sub>(number)</sub>'' 
:'''lo dilcu''' — quotient. '''lo se dilcu''' — dividend of a quotient. '''lo te dilcu''' — divisor of a quotient. '''lo ve dilcu''' — remainder of a quotient. 
:'''li re dilcu li pa ci li mu li ci''' — ''2 is the quotient of 13 divided by 5 with the remainder 3.''
:Related words: '''frinu''', '''fendi''', '''katna''', '''parbi''', '''mekso'''"
dilnu,"
'''dilnu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a cloud of material  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo dilnu''' — cloud. 
:'''le cmana cu cupra lo dilnu be lo danmo''' — ''The mountain produces clouds of smoke.''
:Related words: '''carvi''', '''tcima'''"
dimna,"
'''dimna''' — ''x<sub>1</sub><sub>(property of x2)</sub>''  is a fate or destiny of  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo dimna''' — destiny. 
:'''lo ka xabju ti cu dimna mi''' — ''To live here is my fate.''
:Related words: '''dapma'''"
dinju,"
'''dinju''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a house, building for purpose  ''x<sub>2</sub><sub>(property of x1)</sub>'' 
:'''lo dinju''' — house, building. 
:'''ti dinju lo nu lumci''' — ''This is a bathhouse.''
:Related words: '''ginka''', '''zdani''', '''zarci'''"
dinko,"
'''dinko''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a nail or tack for purpose  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo dinko''' — nail (tack). 
:'''mi pu lasna lo pixra lo bitmu lo dinko se pi'o lo mruli''' — ''I nailed the picture to the wall using a hammer.''
:'''ti dinko lo ka lasna lo cutci lo xirma ce'u''' — ''This is a nail for fastening horseshoes.''
:Related words: '''pijne''', '''lasna'''"
dirba,"
'''dirba''' — ''x<sub>1</sub><sub>(entity, property of x2)</sub>''  is dear, precious to  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo dirba''' — precious, dear (of great value). 
:'''do pu zvati ma doi dirba''' — ''Where have you been, dear?''
:'''lo nu jmive cu dirba ro da''' — ''Life is dear to everybody.''
:Related words: '''tcika''', '''kargu''', '''vamji''', '''vajni''', '''pleji''', '''jadni''', '''jemna'''"
dirce,"
'''dirce''' — ''x<sub>1</sub><sub>(entity)</sub>''  radiates, emits  ''x<sub>2</sub><sub>(property of x1)</sub>'' 
:'''lo dirce''' — emitter. '''lo se dirce''' — radiation. 
:'''le jinto cu dirce lo djacu''' — ''The spring of fluid emits water.''
:Related words: '''gusni'''"
dirgo,"
'''dirgo''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a drop of  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo dirgo''' — drop. 
:'''sa'u ti dirgo lo djacu''' — ''It's just a drop of water.''
:Related words: '''daplu''', '''bidju'''"
ditcu,"
'''ditcu''' — ''x<sub>1</sub><sub>(clause)</sub>''  is the time-duration/period of  ''x<sub>2</sub><sub>(clause)</sub>'' 
:'''lo ditcu''' — period. 
:'''ma ditcu lo nu do limna lo rirxe''' — ''How long have you been swimming in the river?''
:Related words: '''cedra''', '''ranji''', '''tcika''', '''renvi''', '''temci''', '''canlu''', '''kuspe'''"
dizlo,"
'''dizlo''' — ''x<sub>1</sub><sub>(entity)</sub>''  is low compared to  ''x<sub>2</sub><sub>(entity)</sub>'' <sub>(entity)</sub>'' ; x<sub>1</sub> is a lower part of x<sub>2</sub>
:'''lo dizlo''' — low, bottom. 
:'''i lo gerku cu dizlo lo mlatu poi cpare lo tricu''' — ''The dog stands low compared to the cat climbing the tree.''
:'''mi mo'u farlu lo dizlo be lo bitmu''' — ''I fell down to the foot of the fence.''
:Related words: '''cnita''', '''galtu''', '''gapru''', '''farna''', '''loldi'''"
djacu,"
'''djacu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is some water
:'''lo djacu''' — water. 
:'''le nakni pu pinxe lo djacu lo pa kabri''' — ''He drank some water from the cup.''
:Related words: '''lalxu''', '''rirxe''', '''xamsi''', '''limna''', '''litki''', '''lumci''', '''bumru''', '''jinto'''"
djedi,"
'''djedi''' — ''x<sub>1</sub><sub>(clause)</sub>''  is  ''x<sub>2</sub><sub>(number)</sub>''  full days long
:'''lo djedi''' — day (full day). '''lo se djedi''' — number of full days. 
:'''mi volve ba zi lo djedi be li pa no''' — ''I will return in 10 days.''
:Related words: '''donri''', '''detri''', '''jeftu''', '''masti''', '''nanca''', '''nicte''', '''tcika'''"
djica,"
'''djica''' — ''x<sub>1</sub><sub>(entity)</sub>''  desires or wants  ''x<sub>2</sub><sub>(clause, property of x1)</sub>''  for purpose  ''x<sub>3</sub><sub>(property of x1)</sub>'' 
:'''lo se djica''' — something desired. 
:'''mi djica lo nu cusku lo xajmi vau lo nu do cisma''' — ''I want tell something funny to make you smile.''
:'''mi djica tu'a lo so'i cukta lo ka tcidu''' — ''I want many books to read.''
:Related words: '''taske''', '''xagji''', '''mukti''', '''nitcu''', '''nelci''', '''pacna''', '''prami''', '''rigni''', '''trina''', '''xebni''', '''xlura'''"
djine,"
'''djine''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a ring
:'''lo djine''' — ring. 
:'''ti solji djine''' — ''This is a golden ring.''
:Related words: '''cukla'''"
djuno,"
'''djuno''' — ''x<sub>1</sub><sub>(entity)</sub>''  knows fact  ''x<sub>2</sub><sub>(proposition)</sub>''  about  ''x<sub>3</sub><sub>(entity)</sub>''  on grounds  ''x<sub>4</sub><sub>(proposition)</sub>'' 
:'''lo se djuno''' — known fact. '''lo ve djuno''' — grounds of knowledge. 
:'''mi djuno lo du'u mi zasti vau fo lo du'u mi pensi''' — ''I know that I exist since I think.''
:'''mi djuno so'i da la Lojban''' — ''I know a lot about Lojban.''
:'''mi djuno mo'a da lo cmaci''' — ''I know too little about math.''
:Comment: ''to be familiar with '' is '''se''' '''slabu''', '''na'e''' '''se''' '''cnino''', '''na'e''' '''se''' '''fange'''.
:Related words: '''krici''', '''jinvi''', '''cilre''', '''certu''', '''facki''', '''jijnu''', '''jimpe''', '''senpi''', '''smadi''', '''kakne''', '''birti''', '''mipri''', '''morji''', '''saske''', '''viska'''"
do,"
'''do''' <small>[pronoun]</small> — ''you'' (the listener)
:'''coi ro do''' — ''Hello, everyone!''
:'''xu do djica lo nu mi sidju do''' — ''Do you want me to help you?''"
do'a,"
'''do'a''' <small>[interjection]</small> — ''generously, broadly construed'', '''do'a''' '''nai''' — ''at least'' (parsimoniously)
:'''do'a mi do ka'e ctuca lo se jmina''' — ''I could teach you some additional things.''
:'''do'a nai do no da zekri lebna''' — ''At least you didn't steal anything.''
:'''a'o mi te dunda lo kargu karce a ke do'a nai lo karce poi na spofu''' — ''Hopefully, I'll be given an expensive car or at least one that isn't broken.''
:Related words: '''sa'e''' '''nai'''"
do'e,"
'''do'e''' <small>[preposition from '''co'e''']</small> — preposition with the meaning unspecified or known from context
:'''ti karda do'e lo valsi''' — ''It's a card with a word.''
:Comment: used in speech when it's hard to find an appropriate preposition on the fly."
do'i,"
'''do'i''' <small>[pronoun]</small> — an utterance unspecified or known from context
:'''do'i cu me lo jufra pe lo se cukta poi mi pu tcidu''' — ''That sentence is from a book that I had read.''"
do'o,"
'''do'o''' <small>[pronoun]</small> — ''you and others'' (the listener + other persons not in the dialog)
:'''lu mi'a pu casnu lo nu litru li'u lu do'o pu cuxna ma li'u''' — ''&quot;We discussed travelling.&quot; &quot;What did you choose?&quot;''"
do'u,"
'''do'u''' <small>[terminator]</small>
:ends a construct started with: '''be'e, co'o, co'oi, coi, di'ai, fe'o, fi'i, je'e, ju'i, ke'o, ki'e, mi'e, mu'o, nu'e, a'oi, pe'u, re'i, ta'a, vi'o, ki'ai, cu, cu'e, nau, do'u, doi'''"
doi,"
'''doi''' <small>[vocative]</small> — general vocative, identifies intended listener.
:'''doi nobli do co'u morji fi lo do ckiku''' — ''Oh, sir! You forgot your keys.''"
donri,"
'''donri''' — ''x<sub>1</sub><sub>(entity)</sub>''  is daytime of day  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo donri''' — day (daylight time), daytime. 
:'''ca lo donri be lo prulamdei ra pu stali lo zdani''' — ''Yesterday in the daytime, he stayed at home.''
:Related words: '''nicte''', '''djedi''', '''tcika'''"
draci,"
'''draci''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a drama or play about  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo draci''' — play (drama). '''lo se draci''' — plot of a drama. 
:'''lo pendo be mi cu finti lo draci be lo nabmi pe lo te seksi''' — ''My friend is the author of a drama about the problem of sexes.''
:Related words: '''finti''', '''cukta''', '''lisri''', '''cfika'''"
drani,"
'''drani''' — ''x<sub>1</sub><sub>(entity)</sub>''  is correct in  ''x<sub>2</sub><sub>(property of x1)</sub>'' 
:'''lo drani''' — correct. 
:'''do drani lo ka pilno ma kau poi valsi''' — ''You are correct in what words you use.''
:Related words: '''srera''', '''mapti'''"
drata,"
'''drata''' — ''x<sub>1</sub><sub>(entity)</sub>''  is not the same as  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo drata''' — different, another, other. 
:'''lo drata be mi ka'e sidju''' — ''Someone else but me can help.''
:Related words: '''mintu''', '''frica''', '''dunli'''"
drudi,"
'''drudi''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a roof or lid of structure  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo drudi''' — lid. '''lo se drudi''' — something with a lid. 
:'''lo drudi be lo dinju cu ei se cikre''' — ''The roof of the building needs fixing.''
:Comment: '''lo''' '''drudi''' is designed to be over, above '''lo''' '''se''' '''drudi''' and shelters it from other things above '''lo''' '''drudi'''.
:Related words: '''bitmu''', '''stedu''', '''galtu''', '''gapru''', '''loldi''', '''marbi''', '''gacri''', '''mapku'''"
du,"
'''du''' — ''x<sub>1</sub><sub>(entity)</sub>'',  ''x<sub>2</sub><sub>(entity)</sub>'',  ''x<sub>3</sub> are the same thing
:'''lo du''' — lid. '''lo se du''' — something with a lid. 
:'''li pa su'i pa du li re li pa no fe'i mu''' — ''1 + 1 = 2 = 10 / 5.''
:'''xu du lo prenu poi mitysisku mi ca lo prulamdei''' — ''Are you the same person who searched for me yesterday?''
:Comment: corresponds to the operator ''='' in math, can have any number of places.
:Related words: '''bitmu''', '''stedu''', '''galtu''', '''gapru''', '''loldi''', '''marbi''', '''gacri''', '''mapku'''"
du'e,"
'''du'e''' <small>[digit/number]</small> — ''too many''
:'''le vacri ca du'e va'e glare''' — ''It's too hot.''
:'''du'e prenu cu zvati le klaji''' — ''There are too many people in the street.''
:Comment: subjective estimate."
du'i,"
'''du'i''' <small>[preposition from '''dunli''']</small> — ''as much as ...'', adverb: ''equally''
:'''mi'a du'i casnu lo mintu''' — ''We equally discussed the same.''
:'''xu do zukcfu du'i mi''' — ''Are you as busy as I am?''
:Comment: noun after '''du'i''' is compared with x<sub>1</sub> of the clause, the clause itself describes the comparison."
du'u,"
'''du'u''' <small>[clause prefix]</small> — turn clause into verb
:'''mi djuno lo du'u do na fuzme''' — ''I know that you are not responsible.''
:Comment: x<sub>1 (clause)</sub> is the clause (that follows) expressed in sentence x<sub>2(text)</sub>."
dugri,"
'''dugri''' — ''x<sub>1</sub><sub>(number)</sub>''  is the logarithm of  ''x<sub>2</sub><sub>(number)</sub>''  to base  ''x<sub>3</sub><sub>(number)</sub>'' 
:'''lo dugri''' — logarithm. '''lo te dugri''' — base of a logarithm. 
:'''li ci dugri li pa no no no li pa no''' — ''3 is the logarithm of 1000 to base 10.''
:Related words: '''tenfa'''"
dukti,"
'''dukti''' — ''x<sub>1</sub><sub>(entity)</sub>''  is opposite or contrary to  ''x<sub>2</sub><sub>(entity)</sub>''  in  ''x<sub>3</sub><sub>(property of x1 and x2 with '''kau''')</sub>'' 
:'''lo dukti''' — opposite. 
:'''la Alis la Kevin pu dukti lo ka catlu ma kau''' — ''Alice and Kevin looked in the opposite directions.''
:Related words: '''ranxi''', '''ragve'''"
